id_venda,id_franquia,id_profissional,id_prato,data_venda,quantidade,valor_total
1,1,13,203,2024-09-30,1,45.0
2,3,2,207,2024-06-20,3,18.0
3,4,1,205,2024-08-12,3,45.0
4,4,17,203,2024-03-30,2,90.0
5,2,8,202,2024-10-18,2,61.0
6,4,16,206,2024-04-22,3,84.0
7,4,12,204,2024-05-30,3,66.0
8,5,2,204,2024-07-09,3,66.0
9,2,4,202,2024-06-25,3,91.5
10,2,17,207,2024-06-04,3,18.0
11,3,4,206,2024-07-09,3,84.0
12,3,10,202,2024-03-20,2,61.0
13,5,16,206,2024-09-08,1,28.0
14,4,18,208,2024-07-05,1,8.5
15,3,1,203,2024-06-03,3,135.0
16,1,3,204,2024-10-02,2,44.0
17,4,17,202,2024-08-11,2,61.0
18,4,1,201,2024-10-25,2,50.0
19,2,7,208,2024-06-10,2,17.0
20,1,2,204,2024-04-30,3,66.0
21,3,20,201,2024-01-23,2,50.0
22,1,19,203,2024-08-02,2,90.0
23,4,5,202,2024-07-13,1,30.5
24,1,11,203,2024-07-04,1,45.0
25,3,11,203,2024-04-07,2,90.0
26,3,6,205,2024-02-25,2,30.0
27,3,9,203,2024-07-05,3,135.0
28,2,4,205,2024-05-09,2,30.0
29,2,5,205,2024-09-14,1,15.0
30,1,19,203,2024-06-13,2,90.0
31,1,20,208,2024-10-01,1,8.5
32,4,13,204,2024-05-20,1,22.0
33,3,1,207,2024-04-08,1,6.0
34,5,4,206,2024-03-11,1,28.0
35,4,16,208,2024-05-06,1,8.5
36,5,17,203,2024-01-30,3,135.0
37,4,5,202,2024-09-18,1,30.5
38,2,5,202,2024-07-17,3,91.5
39,1,5,206,2024-07-10,2,56.0
40,1,18,203,2024-07-29,3,135.0
41,1,9,207,2024-09-20,3,18.0
42,1,5,206,2024-08-21,2,56.0
43,2,1,202,2024-06-26,1,30.5
44,4,15,208,2024-08-15,1,8.5
45,1,14,205,2024-07-08,1,15.0
46,4,20,205,2024-08-28,3,45.0
47,2,11,208,2024-01-01,2,17.0
48,3,11,208,2024-06-09,3,25.5
49,5,12,208,2024-05-21,1,8.5
50,4,10,204,2024-08-10,1,22.0
